Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
865413,2008,1,0.725,0.061805556,0.672222222,0.058950617,0.925,0.071153846,0.915492958,0.078470825,0.806451613,0.161290323,0.777777778,0.194444444,0.777777778,0.194444444,0.715909091,0.205721003,0.790909091,0.166889074
367062,2008,1,0.6,0.058333333,0.572222222,0.058333333,0.875,0.112179487,0.830985915,0.142454728,0.677419355,0.225806452,0.555555556,0.277777778,0.888888889,0.111111111,0.522727273,0.252351097,0.8,0.16146789
245385,2008,1,0.9,0.016666667,0.875,0.03125,0.975,0.025,0.985915493,0.014084507,0.935483871,0.062365591,0.555555556,0.277777778,1,0,0.625,0.237068966,0.818181818,0.150125104
286071,2008,1,0.8,0.038888889,0.744444444,0.045061728,1,0,0.957746479,0.041046278,0.677419355,0.225806452,0.777777778,0.194444444,1,0,0.625,0.237068966,0.754545455,0.186905755
536349,2008,0,0.175,0.028472222,0.175,0.028472222,0.7,0.215384615,0.704225352,0.211267606,0.419354839,0.251612903,0.111111111,0.111111111,0.777777778,0.194444444,0.522727273,0.252351097,0.663636364,0.225271059
183678,2008,1,0.675,0.05625,0.669444444,0.058719136,0.975,0.025,0.915492958,0.078470825,0.774193548,0.180645161,0.777777778,0.194444444,1,0,0.602272727,0.242293626,0.736363636,0.195913261
767012,2008,1,0.675,0.05625,0.675,0.05625,0.925,0.071153846,0.873239437,0.112273642,0.806451613,0.161290323,0.666666667,0.25,1,0,0.5,0.252873563,0.790909091,0.166889074
787746,2008,1,0.725,0.034027778,0.719444444,0.037114198,0.975,0.025,0.957746479,0.041046278,0.741935484,0.197849462,0.444444444,0.277777778,1,0,0.397727273,0.242293626,0.736363636,0.195913261
526528,2008,1,0.725,0.047916667,0.691666667,0.052546296,1,0,0.887323944,0.101408451,0.741935484,0.197849462,0.333333333,0.25,1,0,0.761363636,0.183777429,0.818181818,0.150125104
172459,2008,1,0.825,0.028472222,0.841666667,0.033101852,1,0,0.957746479,0.041046278,0.741935484,0.197849462,0.666666667,0.25,1,0,0.670454545,0.223484848,0.854545455,0.125437865
644930,2008,1,0.55,0.052777778,0.516666667,0.030555556,0.975,0.025,0.873239437,0.112273642,0.774193548,0.180645161,0.222222222,0.194444444,0.888888889,0.111111111,0.556818182,0.24960815,0.754545455,0.186905755
739271,2008,1,,,,,,,,,,,,,,,,,,
210135,2008,1,0.475,0.020138889,0.472222222,0.021604938,0.9,0.092307692,0.830985915,0.142454728,0.774193548,0.180645161,1,0,1,0,0.602272727,0.242293626,0.8,0.16146789
370581,2008,1,0.575,0.05625,0.541666667,0.049768519,1,0,0.76056338,0.184708249,0.580645161,0.251612903,0.888888889,0.111111111,0.666666667,0.25,0.397727273,0.242293626,0.681818182,0.218932444
270091,2008,1,0.875,0.020833333,0.854166667,0.029513889,1,0,0.965517241,0.034482759,0.692307692,0.230769231,1,0,1,0,0.5,0.256097561,0.815789474,0.154338549
510170,2008,1,0.9,0.030555556,0.9,0.030555556,1,0,0.971830986,0.0277666,0.935483871,0.062365591,0.333333333,0.25,1,0,0.511363636,0.252742947,0.809090909,0.1558799
580958,2008,1,0.925,0.014583333,0.925,0.014583333,1,0,0.957746479,0.041046278,0.838709677,0.139784946,0.555555556,0.277777778,1,0,0.613636364,0.239811912,0.818181818,0.150125104
148048,2008,1,0.5,0.041666667,0.494444444,0.02808642,0.95,0.048717949,0.915492958,0.078470825,0.838709677,0.139784946,0.888888889,0.111111111,1,0,0.488636364,0.252742947,0.718181818,0.204253545
585864,2008,1,0.775,0.061805556,0.772222222,0.065123457,1,0,0.943661972,0.053923541,0.741935484,0.197849462,1,0,1,0,0.556818182,0.24960815,0.863636364,0.118849041
531854,2008,1,0.775,0.061805556,0.791666667,0.040509259,1,0,0.943661972,0.053923541,0.870967742,0.116129032,0.777777778,0.194444444,1,0,0.477272727,0.252351097,0.781818182,0.172143453
847417,2008,1,0.9,0.030555556,0.891666667,0.034027778,0.95,0.048717949,0.957746479,0.041046278,0.838709677,0.139784946,0.777777778,0.194444444,1,0,0.636363636,0.234064786,0.845454545,0.131859883
974007,2008,1,0.625,0.072916667,0.569444444,0.071373457,0.975,0.025,0.873239437,0.112273642,0.870967742,0.116129032,1,0,0.888888889,0.111111111,0.636363636,0.234064786,0.772727273,0.177231026
119037,2008,1,0.5,0.027777778,0.544444444,0.039814815,0.9,0.092307692,0.915492958,0.078470825,0.870967742,0.116129032,0.777777778,0.194444444,1,0,0.511363636,0.252742947,0.763636364,0.182151793
392834,2008,1,0.7,0.066666667,0.694444444,0.069444444,0.95,0.048717949,0.901408451,0.090140845,0.806451613,0.161290323,0.555555556,0.277777778,1,0,0.522727273,0.252351097,0.790909091,0.166889074
992068,2008,1,0.725,0.034027778,0.691666667,0.024768519,0.975,0.025,0.915492958,0.078470825,0.64516129,0.23655914,0.444444444,0.277777778,1,0,0.5,0.252873563,0.827272727,0.144203503
928775,2008,1,,,,,,,,,,,,,,,,,,
740515,2008,1,0.8,0.038888889,0.775,0.034027778,1,0,0.929577465,0.06639839,0.903225806,0.090322581,0.555555556,0.277777778,1,0,0.681818182,0.219435737,0.754545455,0.186905755
882177,2008,1,0.775,0.061805556,0.766666667,0.035185185,1,0,0.887323944,0.101408451,0.870967742,0.116129032,1,0,1,0,0.454545455,0.250783699,0.781818182,0.172143453
946715,2008,1,0.725,0.061805556,0.691666667,0.080324074,0.95,0.048717949,0.873239437,0.112273642,0.806451613,0.161290323,0.666666667,0.25,0.777777778,0.194444444,0.556818182,0.24960815,0.781818182,0.172143453
778870,2008,1,0.825,0.014583333,0.766666667,0.035185185,0.975,0.025,0.929577465,0.06639839,0.741935484,0.197849462,0.777777778,0.194444444,0.888888889,0.111111111,0.522727273,0.252351097,0.754545455,0.186905755
668321,2008,1,0.5,0.041666667,0.469444444,0.034027778,1,0,0.873239437,0.112273642,0.612903226,0.24516129,0.666666667,0.25,1,0,0.477272727,0.252351097,0.827272727,0.144203503
934998,2008,1,0.9,0.016666667,0.891666667,0.020138889,1,0,0.971830986,0.0277666,0.838709677,0.139784946,0.888888889,0.111111111,0.888888889,0.111111111,0.465909091,0.251698015,0.809090909,0.1558799
913530,2008,1,0.75,0.041666667,0.719444444,0.037114198,0.975,0.025,0.887323944,0.101408451,0.806451613,0.161290323,1,0,0.888888889,0.111111111,0.590909091,0.244514107,0.754545455,0.186905755
239481,2008,1,0.7,0.066666667,0.697222222,0.069521605,0.95,0.048717949,0.929577465,0.06639839,0.774193548,0.180645161,0.888888889,0.111111111,0.888888889,0.111111111,0.556818182,0.24960815,0.836363636,0.138115096
116696,2008,1,0.675,0.05625,0.619444444,0.06087963,0.975,0.025,0.887323944,0.101408451,0.838709677,0.139784946,0.777777778,0.194444444,0.888888889,0.111111111,0.534090909,0.251698015,0.872727273,0.112093411
558778,2008,1,0.775,0.034027778,0.716666667,0.034259259,0.975,0.025,0.957746479,0.041046278,0.903225806,0.090322581,1,0,0.888888889,0.111111111,0.647727273,0.230799373,0.8,0.16146789
651889,2008,1,0.675,0.014583333,0.619444444,0.019212963,1,0,0.887323944,0.101408451,0.677419355,0.225806452,0.444444444,0.277777778,1,0,0.659090909,0.227272727,0.663636364,0.225271059
379411,2008,1,0.95,0.025,0.925,0.05625,1,0,0.971830986,0.0277666,0.774193548,0.180645161,1,0,1,0,0.613636364,0.239811912,0.809090909,0.1558799
502462,2008,1,0.725,0.034027778,0.691666667,0.024768519,0.975,0.025,0.929577465,0.06639839,0.741935484,0.197849462,0.444444444,0.277777778,0.777777778,0.194444444,0.693181818,0.215125392,0.827272727,0.144203503
257183,2008,1,,,,,,,,,,,,,,,,,,
620589,2008,1,0.8,0.025,0.741666667,0.042361111,0.925,0.071153846,0.901408451,0.090140845,0.709677419,0.212903226,0.777777778,0.194444444,1,0,0.556818182,0.24960815,0.781818182,0.172143453
512000,2008,1,0.5,0.055555556,0.422222222,0.071296296,0.95,0.048717949,0.830985915,0.142454728,0.838709677,0.139784946,0.333333333,0.25,0.888888889,0.111111111,0.329545455,0.223484848,0.7,0.211926606
761694,2008,1,0.55,0.080555556,0.569444444,0.057484568,0.825,0.148076923,0.873239437,0.112273642,0.741935484,0.197849462,0.222222222,0.194444444,0.888888889,0.111111111,0.715909091,0.205721003,0.754545455,0.186905755
495400,2008,1,0.8,0.052777778,0.791666667,0.054398148,1,0,0.943661972,0.053923541,0.870967742,0.116129032,0.666666667,0.25,1,0,0.534090909,0.251698015,0.827272727,0.144203503
191761,2008,1,0.525,0.047916667,0.516666667,0.044444444,0.875,0.112179487,0.873239437,0.112273642,0.516129032,0.258064516,1,0,1,0,0.5,0.252873563,0.690909091,0.215512927
988725,2008,1,0.6,0.072222222,0.597222222,0.074459877,0.925,0.071153846,0.802816901,0.16056338,0.806451613,0.161290323,1,0,1,0,0.590909091,0.244514107,0.718181818,0.204253545
648797,2008,1,0.625,0.072916667,0.616666667,0.043518519,0.975,0.025,0.901408451,0.090140845,0.709677419,0.212903226,0.444444444,0.277777778,1,0,0.5,0.252873563,0.8,0.16146789
649155,2008,1,0.725,0.075694444,0.641666667,0.071064815,0.975,0.025,0.887323944,0.101408451,0.806451613,0.161290323,1,0,0.888888889,0.111111111,0.5,0.252873563,0.736363636,0.195913261
775874,2008,1,0.85,0.030555556,0.791666667,0.054398148,0.975,0.025,0.957746479,0.041046278,0.935483871,0.062365591,0.222222222,0.194444444,1,0,0.670454545,0.223484848,0.854545455,0.125437865
517458,2008,1,0.725,0.047916667,0.741666667,0.028472222,1,0,0.929577465,0.06639839,0.967741935,0.032258065,0.222222222,0.194444444,1,0,0.545454545,0.250783699,0.763636364,0.182151793
410072,2008,1,0.825,0.028472222,0.791666667,0.02662037,1,0,0.943661972,0.053923541,0.903225806,0.090322581,0.222222222,0.194444444,1,0,0.670454545,0.223484848,0.745454545,0.191492911
435295,2008,1,0.575,0.111805556,0.569444444,0.113040123,0.85,0.130769231,0.873239437,0.112273642,0.677419355,0.225806452,0.777777778,0.194444444,1,0,0.568181818,0.248171369,0.7,0.211926606
813414,2008,1,0.6,0.044444444,0.616666667,0.043518519,0.95,0.048717949,0.929577465,0.06639839,0.709677419,0.212903226,0.333333333,0.25,1,0,0.420454545,0.246473354,0.672727273,0.222185154
657893,2008,1,0.8,0.038888889,0.794444444,0.056790123,1,0,0.957746479,0.041046278,0.774193548,0.180645161,0.222222222,0.194444444,0.888888889,0.111111111,0.590909091,0.244514107,0.845454545,0.131859883
522345,2008,1,0.475,0.103472222,0.469444444,0.075694444,0.9,0.092307692,0.85915493,0.122736419,0.870967742,0.116129032,0.111111111,0.111111111,0.888888889,0.111111111,0.568181818,0.248171369,0.872727273,0.112093411
451784,2008,1,0.75,0.083333333,0.722222222,0.078703704,0.975,0.025,0.901408451,0.090140845,0.677419355,0.225806452,0.888888889,0.111111111,0.888888889,0.111111111,0.318181818,0.219435737,0.736363636,0.195913261
371821,2008,1,0.675,0.05625,0.669444444,0.058719136,0.975,0.025,0.915492958,0.078470825,0.903225806,0.090322581,1,0,0.888888889,0.111111111,0.397727273,0.242293626,0.781818182,0.172143453
410912,2008,1,0.75,0.069444444,0.722222222,0.064814815,1,0,0.901408451,0.090140845,0.838709677,0.139784946,0.888888889,0.111111111,1,0,0.534090909,0.251698015,0.8,0.16146789
930342,2008,1,0.675,0.070138889,0.666666667,0.069444444,0.975,0.025,0.929577465,0.06639839,0.774193548,0.180645161,0.777777778,0.194444444,1,0,0.522727273,0.252351097,0.809090909,0.1558799
682324,2008,1,0.7,0.038888889,0.594444444,0.045987654,0.975,0.025,0.845070423,0.132796781,0.774193548,0.180645161,0.222222222,0.194444444,0.888888889,0.111111111,0.477272727,0.252351097,0.790909091,0.166889074
