,Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
375,355354,2012.0,1,0.8125,0.02265625,0.775,0.030625,0.858222222,0.016305975,0.808571429,0.026783672999999997,0.79,0.029122222000000003,1.0,0.0,1.0,0.0,0.833234127,0.012818474,0.797472527,0.024034042000000002
193,386298,2010.0,1,0.75,0.065789474,0.75,0.06944444400000001,0.791046512,0.081397715,0.714571429,0.110784596,0.783666667,0.089962599,0.75,0.214285714,1.0,0.0,0.5737704920000001,0.24863388,0.773109244,0.176897878
408,602678,2012.0,1,0.8125,0.01953125,0.75,0.025,0.869777778,0.020176,0.802857143,0.018685714,0.843333333,0.021344444,1.0,0.0,0.75,0.1875,0.596180556,0.054051238,0.735567766,0.077585062
49,813414,2008.0,1,0.6,0.04444444400000001,0.6166666670000001,0.043518519000000006,0.95,0.048717949,0.929577465,0.06639839,0.709677419,0.21290322600000003,0.333333333,0.25,1.0,0.0,0.420454545,0.24647335399999998,0.672727273,0.222185154
276,269103,2011.0,1,0.8125,0.058388157999999996,0.75,0.055555556,0.845581395,0.05407436400000001,0.8242857140000001,0.057216149,0.8785,0.037345169,1.0,0.0,0.875,0.125,0.704918033,0.21147541,0.847457627,0.130378096
21,119037,2008.0,1,0.5,0.027777778,0.544444444,0.039814815,0.9,0.092307692,0.915492958,0.078470825,0.870967742,0.116129032,0.7777777779999999,0.194444444,1.0,0.0,0.511363636,0.252742947,0.763636364,0.182151793
205,505029,2010.0,1,0.725,0.058552632,0.675,0.05625,0.814302326,0.06195186,0.781428571,0.07073416099999999,0.783166667,0.09399827699999999,0.75,0.214285714,0.875,0.125,0.639344262,0.23442623,0.773109244,0.176897878
336,710460,2011.0,1,0.6375,0.08207236799999999,0.575,0.097916667,0.7411627909999999,0.069240985,0.748,0.075871304,0.7340000000000001,0.08612949199999999,0.125,0.125,0.5,0.28571428600000004,0.44262295100000004,0.250819672,0.627118644,0.23583949
666,887850,2014.0,0,0.7125,0.04390625,0.75,0.05,0.907,0.023281,0.8714285709999999,0.022244898,0.670952381,0.098627891,0.59375,0.139648438,0.625,0.234375,0.428199405,0.089605561,0.772109035,0.043051029000000005
447,416444,2012.0,1,0.7875,0.02515625,0.8,0.0225,0.854222222,0.021660443999999997,0.7685714290000001,0.044155102,0.846666667,0.023377778,0.625,0.234375,1.0,0.0,0.6320932539999999,0.030677573,0.807545788,0.052832508
579,960974,2014.0,1,0.75,0.04375,0.75,0.0375,0.955,0.011345000000000001,0.894285714,0.029395917999999997,0.895238095,0.021972789,0.625,0.109375,0.75,0.1875,0.357514881,0.025192295,0.699325153,0.045209009
224,868632,2010.0,1,0.7625,0.022861842,0.675,0.028472222000000002,0.768023256,0.063206635,0.657285714,0.116373685,0.5995,0.135492966,0.875,0.125,0.75,0.214285714,0.557377049,0.250819672,0.705882353,0.20937188399999998
411,586885,2012.0,1,0.8625,0.01390625,0.85,0.015,0.893777778,0.012679309,0.811428571,0.017665306000000002,0.82,0.028044443999999998,0.75,0.1875,1.0,0.0,0.7067460320000001,0.051750912999999996,0.796910867,0.051811373
446,307226,2012.0,1,0.7125,0.02828125,0.7,0.035,0.801333333,0.018169086,0.728571429,0.033346939,0.716666667,0.033611111,1.0,0.0,0.625,0.234375,0.725297619,0.034403256,0.737716728,0.058408716
116,826274,2009.0,1,0.575,0.04236111099999999,0.525,0.061805556,0.871794872,0.11470985199999999,0.95,0.048101266,0.75,0.192307692,0.5555555560000001,0.27777777800000003,1.0,0.0,0.313953488,0.217920657,0.747747748,0.19033579
201,347793,2010.0,1,0.55,0.082894737,0.45,0.052777778,0.588837209,0.10449275,0.5429999999999999,0.126777826,0.6166666670000001,0.105487006,0.25,0.214285714,0.75,0.214285714,0.45901639299999997,0.25245901600000004,0.857142857,0.12348668300000001
582,880671,2014.0,1,0.6875,0.07578125,0.8,0.0475,0.9390000000000001,0.005889,0.914285714,0.0070204080000000006,0.888095238,0.009198413,0.71875,0.038085938,0.25,0.1875,0.295014881,0.0692439,0.803140781,0.01802586
441,430730,2012.0,1,0.525,0.1025,0.475,0.118125,0.762222222,0.03457284,0.762857143,0.05437551,0.686666667,0.096044444,0.375,0.234375,0.75,0.1875,0.713169643,0.045330786,0.685873016,0.101763895
35,379411,2008.0,1,0.95,0.025,0.925,0.05625,1.0,0.0,0.971830986,0.0277666,0.774193548,0.18064516100000003,1.0,0.0,1.0,0.0,0.613636364,0.239811912,0.809090909,0.1558799
591,556188,2014.0,1,0.7,0.05375,0.8,0.06,0.9420000000000001,0.003076,0.894285714,0.006702041,0.917142857,0.009257143,0.75,0.03125,0.9375,0.02734375,0.479241071,0.160035381,0.734489988,0.030315083
323,574211,2011.0,1,0.85,0.04444444400000001,0.85,0.05,0.696666667,0.08045,0.638285714,0.094602857,0.655333333,0.11167402300000001,0.75,0.25,1.0,0.0,0.482758621,0.25862069,0.795454545,0.166490486
315,524980,2011.0,1,0.8375,0.028125,0.775,0.034027778,0.9230232559999999,0.025066047,0.914857143,0.027752877999999998,0.9,0.046555932,1.0,0.0,1.0,0.0,0.606557377,0.242622951,0.830508475,0.14196726099999998
307,509820,2011.0,1,0.7875,0.034703947,0.725,0.034027778,0.833255814,0.07814692200000001,0.8,0.098231884,0.800166667,0.09140844599999999,1.0,0.0,1.0,0.0,0.721311475,0.204371585,0.7288135590000001,0.19933362300000002
628,140590,2014.0,1,0.8625,0.02953125,0.85,0.04,0.919,0.021049000000000002,0.94,0.010685713999999999,0.90952381,0.030721087999999997,0.6875,0.07421875,0.6875,0.18359375,0.6008184520000001,0.049218833,0.7890137970000001,0.016462075
442,300068,2012.0,1,0.6875,0.01015625,0.675,0.013125,0.828,0.019362173,0.7514285709999999,0.022702041000000003,0.7666666670000001,0.033555556,0.875,0.109375,0.875,0.109375,0.5554315479999999,0.078671648,0.738901099,0.027777497999999998
153,764622,2009.0,1,0.85,0.016666667,0.825,0.028472222000000002,1.0,0.0,0.95,0.048101266,0.925,0.07115384599999999,0.5555555560000001,0.27777777800000003,0.8888888890000001,0.111111111,0.662790698,0.22612859100000002,0.810810811,0.154791155
154,174425,2009.0,1,0.8,0.025,0.825,0.028472222000000002,1.0,0.0,0.9625,0.036550633,0.775,0.17884615399999998,0.666666667,0.25,1.0,0.0,0.627906977,0.236388509,0.882882883,0.104340704
278,597262,2011.0,1,0.6125,0.068914474,0.45,0.038888888999999996,0.759534884,0.096350369,0.7375714290000001,0.122665031,0.855666667,0.065635141,0.25,0.214285714,0.75,0.214285714,0.44262295100000004,0.250819672,0.754237288,0.186947704
422,936104,2012.0,1,0.6375,0.03265625,0.65,0.0525,0.817777778,0.035930864,0.728571429,0.057183673,0.773333333,0.043288889000000004,1.0,0.0,0.875,0.109375,0.655332341,0.042309062,0.742710623,0.055517995
548,703250,2013.0,1,0.8625,0.02953125,0.875,0.028125,0.9540000000000001,0.007844,0.937142857,0.002253061,0.89,0.007997506,0.53125,0.006835938000000001,0.875,0.109375,0.635605159,0.056609872,0.705045543,0.018145604
606,753749,2014.0,1,0.9375,0.02265625,0.925,0.025625,0.914,0.008324,0.948571429,0.003395918,0.9509523809999999,0.003719048,0.6875,0.02734375,0.75,0.1875,0.729092262,0.0068023169999999996,0.841701648,0.011751959
567,155983,2013.0,1,0.6625,0.07515625,0.725,0.068125,0.932,0.004496,0.8542857140000001,0.022114286,0.8614285709999999,0.02319932,0.84375,0.030273438,0.625,0.234375,0.46764881,0.081314292,0.788378877,0.01660242
322,941099,2011.0,1,0.7125,0.028125,0.575,0.04236111099999999,0.849767442,0.045927004,0.752857143,0.079812008,0.7675,0.08778178,0.625,0.267857143,0.625,0.267857143,0.704918033,0.21147541,0.703389831,0.210415761
652,410696,2014.0,1,0.875,0.025,0.9,0.015,0.963,0.005681,0.942857143,0.006204082,0.965714286,0.004865306,0.625,0.078125,1.0,0.0,0.652901786,0.047510402,0.774343468,0.042137559000000005
387,711864,2012.0,1,0.7375,0.04828125,0.725,0.043125,0.824888889,0.023096099,0.7342857140000001,0.034946938999999996,0.7333333329999999,0.052222222,0.75,0.1875,0.875,0.109375,0.811507937,0.045847663,0.684065934,0.07683058599999999
667,960871,2014.0,1,0.8125,0.02265625,0.85,0.0275,0.945,0.015225,0.942857143,0.018122449,0.9190476190000001,0.021646258999999998,0.90625,0.030273438,1.0,0.0,0.520684524,0.102931171,0.749013797,0.039010526000000004
176,191309,2010.0,1,0.65,0.015789473999999998,0.575,0.04236111099999999,0.721860465,0.062676498,0.6571428570000001,0.106806211,0.678333333,0.101976836,0.5,0.28571428600000004,0.625,0.267857143,0.508196721,0.254098361,0.831932773,0.141005555
215,545858,2010.0,1,0.9125,0.014967105,0.925,0.014583333,0.9501162790000001,0.014137633,0.7857142859999999,0.093903106,0.9228333329999999,0.023702006,0.375,0.267857143,0.875,0.125,0.655737705,0.229508197,0.899159664,0.091439966
639,250021,2014.0,1,0.85,0.036875,0.85,0.065,0.943,0.011561,0.911428571,0.021134694,0.891428571,0.021849432999999998,0.75,0.0625,1.0,0.0,0.609672619,0.042969259,0.810045543,0.024334288
448,427848,2012.0,1,0.65,0.011875,0.55,0.01,0.834666667,0.013462914,0.76,0.032195918,0.816666667,0.029166667,0.25,0.1875,0.75,0.1875,0.58077877,0.075461757,0.748107448,0.049624489
311,879141,2011.0,1,0.75,0.013157895,0.675,0.028472222000000002,0.798372093,0.07963026,0.747142857,0.09552795,0.7496666670000001,0.12339310699999999,1.0,0.0,0.75,0.214285714,0.557377049,0.250819672,0.8220338979999999,0.147544546
369,118245,2012.0,1,0.575,0.025625,0.5,0.0375,0.742222222,0.026587654,0.7342857140000001,0.040334694,0.63,0.069877778,0.75,0.1875,0.5625,0.21484375,0.473883929,0.06405935,0.767545788,0.039243578
231,460507,2010.0,1,0.725,0.051973684000000006,0.7,0.052777778,0.821744186,0.083174569,0.7428571429999999,0.097658385,0.672333333,0.141591073,0.75,0.214285714,0.625,0.267857143,0.47540983600000003,0.253551913,0.764705882,0.181455633
230,424084,2010.0,1,0.5,0.092105263,0.45,0.066666667,0.49209302299999996,0.12281909699999999,0.571714286,0.113823106,0.566333333,0.129843955,0.25,0.214285714,0.875,0.125,0.68852459,0.218032787,0.7142857140000001,0.205811138
131,259688,2009.0,1,0.675,0.05625,0.675,0.028472222000000002,1.0,0.0,0.925,0.070253165,0.9,0.092307692,1.0,0.0,1.0,0.0,0.476744186,0.252393981,0.7927927929999999,0.165765766
611,863008,2014.0,1,0.825,0.035,0.8,0.0475,0.9390000000000001,0.023729,0.9085714290000001,0.012865306000000002,0.9185714290000001,0.012265079,0.90625,0.030273438,0.875,0.109375,0.6398065479999999,0.054433765,0.759371184,0.0463474
654,327589,2014.0,1,0.7625,0.02328125,0.775,0.030625,0.9840000000000001,0.001024,0.9542857140000001,0.001991837,0.91047619,0.012289342,0.78125,0.053710938,0.8125,0.12109375,0.5332589289999999,0.04277799400000001,0.8089283270000001,0.031544177
340,232031,2011.0,1,0.6,0.042105263,0.45,0.052777778,0.7013953490000001,0.113059207,0.7284285709999999,0.12057865400000001,0.716666667,0.11655819199999999,0.75,0.214285714,1.0,0.0,0.5737704920000001,0.24863388,0.7711864409999999,0.177966102
380,356308,2012.0,1,0.525,0.015,0.45,0.035,0.7768888890000001,0.014387358000000001,0.708571429,0.034089796,0.773333333,0.021511111,0.5,0.25,1.0,0.0,0.47413194399999997,0.047961919000000006,0.621062271,0.060854174000000004
250,396444,2010.0,1,0.5875,0.07417763200000001,0.525,0.075694444,0.61244186,0.097084555,0.571285714,0.110680932,0.549666667,0.116820226,0.75,0.214285714,0.875,0.125,0.655737705,0.229508197,0.857142857,0.12348668300000001
241,592342,2010.0,1,0.7,0.043421053,0.625,0.072916667,0.6822093020000001,0.097095062,0.667428571,0.077784596,0.655666667,0.08719107300000001,0.25,0.214285714,0.625,0.267857143,0.62295082,0.238797814,0.764705882,0.181455633
258,572949,2011.0,1,0.8125,0.051809210999999994,0.75,0.083333333,0.748372093,0.081277319,0.681428571,0.098464596,0.6779999999999999,0.12458237300000001,0.625,0.267857143,0.75,0.214285714,0.672131148,0.224043716,0.788135593,0.168405041
50,657893,2008.0,1,0.8,0.038888888999999996,0.794444444,0.056790123,1.0,0.0,0.9577464790000001,0.041046278,0.774193548,0.18064516100000003,0.222222222,0.194444444,0.8888888890000001,0.111111111,0.590909091,0.24451410699999998,0.845454545,0.131859883
407,717451,2012.0,1,0.75,0.034375,0.675,0.050625,0.836,0.015338073999999998,0.7885714290000001,0.036767347,0.82,0.035377778,0.75,0.1875,0.875,0.109375,0.80109127,0.057032146,0.785799756,0.073224207
167,115648,2009.0,1,0.7,0.066666667,0.7,0.066666667,0.974358974,0.025641026,0.975,0.024683543999999998,0.825,0.148076923,0.8888888890000001,0.111111111,1.0,0.0,0.534883721,0.251709986,0.756756757,0.18574938600000002
150,960696,2009.0,1,0.725,0.061805556,0.625,0.059027777999999996,1.0,0.0,0.8875,0.101107595,0.85,0.13076923099999999,0.444444444,0.27777777800000003,1.0,0.0,0.558139535,0.249521204,0.7387387390000001,0.194758395
61,604843,2008.0,1,0.85,0.030555556,0.825,0.04236111099999999,1.0,0.0,0.8732394370000001,0.11227364199999999,0.870967742,0.116129032,0.666666667,0.25,1.0,0.0,0.545454545,0.25078369899999997,0.827272727,0.144203503
521,918435,2013.0,1,0.7375,0.06078125,0.775,0.055625,0.907,0.009921,0.894285714,0.005232653,0.79047619,0.03999093,0.5625,0.01171875,0.875,0.109375,0.616934524,0.087412209,0.783940537,0.011537021000000001
293,929383,2011.0,1,0.8375,0.034703947,0.775,0.034027778,0.888372093,0.032703201,0.771857143,0.092128385,0.778,0.10818915300000001,0.5,0.28571428600000004,1.0,0.0,0.721311475,0.204371585,0.7711864409999999,0.177966102
118,889429,2009.0,1,0.725,0.034027778,0.675,0.04236111099999999,0.9487179490000001,0.049932524000000006,0.925,0.070253165,0.925,0.07115384599999999,0.5555555560000001,0.27777777800000003,1.0,0.0,0.418604651,0.24623803,0.7927927929999999,0.165765766
117,215590,2009.0,1,0.65,0.072222222,0.625,0.059027777999999996,0.871794872,0.11470985199999999,0.9125,0.08085443,0.875,0.112179487,0.8888888890000001,0.111111111,1.0,0.0,0.48837209299999995,0.252804378,0.810810811,0.154791155
663,176922,2014.0,1,0.35,0.043125,0.5,0.0375,0.863,0.013000999999999999,0.8342857140000001,0.012538776000000001,0.8309523809999999,0.023701813999999998,0.59375,0.077148438,1.0,0.0,0.478571429,0.097127268,0.713958852,0.032483347
208,455782,2010.0,1,0.4,0.121052632,0.4,0.1,0.553953488,0.10953242099999999,0.466428571,0.133918944,0.621833333,0.12297115800000001,0.5,0.28571428600000004,0.5,0.28571428600000004,0.409836066,0.24590163899999998,0.7142857140000001,0.205811138
551,749373,2013.0,1,0.875,0.0125,0.875,0.015625,0.935,0.023385,0.894285714,0.012579591999999999,0.881904762,0.01837551,0.8125,0.07421875,0.6875,0.18359375,0.652113095,0.008759431,0.769886813,0.029304915
487,628804,2013.0,0,0.475,0.036875,0.575,0.013125,0.8440000000000001,0.010704,0.814285714,0.014081633,0.765238095,0.032317687000000005,0.59375,0.014648438,0.75,0.1875,0.557043651,0.084285783,0.7727439559999999,0.021652752
445,536429,2012.0,1,0.5,0.05,0.375,0.065625,0.7759999999999999,0.024621037000000002,0.74,0.033542857,0.673333333,0.041288889,0.5,0.25,0.5,0.25,0.38596230200000003,0.055624485999999994,0.746129426,0.071260663
466,722515,2012.0,0,0.5625,0.03203125,0.5,0.05,0.82,0.03322963,0.7457142859999999,0.058359184,0.73,0.048988889,0.875,0.109375,0.3125,0.18359375,0.565500992,0.040652227,0.677326007,0.062825644
31,239481,2008.0,1,0.7,0.066666667,0.6972222220000001,0.069521605,0.95,0.048717949,0.929577465,0.06639839,0.774193548,0.18064516100000003,0.8888888890000001,0.111111111,0.8888888890000001,0.111111111,0.556818182,0.24960815,0.836363636,0.138115096
338,552614,2011.0,1,0.325,0.053289474,0.25,0.041666667000000004,0.541976744,0.113296047,0.5660000000000001,0.101804058,0.3605,0.118276017,0.375,0.267857143,0.25,0.214285714,0.37704918,0.238797814,0.652542373,0.228668695
416,767282,2012.0,1,0.85,0.0275,0.825,0.038125,0.878222222,0.018663506,0.817142857,0.04362449,0.803333333,0.030544444,1.0,0.0,0.75,0.1875,0.689012897,0.045310482,0.758424908,0.027977852999999997
144,836511,2009.0,1,0.625,0.072916667,0.625,0.08680555599999999,0.923076923,0.072874494,0.95,0.048101266,0.85,0.13076923099999999,0.7777777779999999,0.194444444,1.0,0.0,0.406976744,0.244186047,0.756756757,0.18574938600000002
252,474447,2010.0,1,0.875,0.049342105,0.875,0.059027777999999996,0.868372093,0.053218495,0.786285714,0.08075412,0.838833333,0.081271497,0.5,0.28571428600000004,1.0,0.0,0.540983607,0.25245901600000004,0.705882353,0.20937188399999998
171,522665,2009.0,1,0.8,0.025,0.825,0.028472222000000002,1.0,0.0,0.975,0.024683543999999998,0.825,0.148076923,1.0,0.0,1.0,0.0,0.441860465,0.249521204,0.810810811,0.154791155
17,585864,2008.0,1,0.775,0.061805556,0.772222222,0.065123457,1.0,0.0,0.943661972,0.053923541,0.7419354840000001,0.197849462,1.0,0.0,1.0,0.0,0.556818182,0.24960815,0.8636363640000001,0.118849041
